89	521	277	130	84	228	165	-15.01	-62.95	-9.21	14386.83	-1946.17	7131.53	62.16	-71.85	-230.80
89	521	277	130	85	227	165	-15.01	-62.97	-9.20	14382.48	-1943.06	7129.35	54.95	-80.46	-229.71
89	521	277	130	84	227	165	-14.94	-63.08	-9.16	14383.36	-1933.51	7117.08	60.00	-92.54	-222.68
89	521	278	131	85	228	165	-14.91	-63.14	-9.13	14383.19	-1925.63	7103.43	55.50	-97.76	-204.79
89	521	278	130	84	228	165	-14.98	-63.21	-9.13	14386.03	-1925.75	7082.46	54.43	-94.62	-183.05
89	521	278	131	85	228	165	-15.09	-63.19	-9.15	14389.93	-1930.86	7069.54	56.41	-79.14	-164.15
89	521	278	131	85	228	166	-15.29	-63.18	-9.18	14391.63	-1938.12	7060.86	48.94	-62.29	-148.94
90	521	278	130	85	228	165	-15.50	-63.11	-9.20	14396.25	-1946.81	7059.42	39.99	-39.97	-141.00
90	521	278	131	85	229	165	-15.53	-63.03	-9.22	14397.84	-1949.67	7061.25	36.39	-19.82	-137.05
89	521	278	131	85	227	166	-15.62	-62.96	-9.24	14407.95	-1956.59	7062.98	20.67	1.42	-128.39
89	521	278	131	85	227	165	-15.63	-62.86	-9.27	14408.35	-1963.96	7076.43	19.14	12.05	-124.42
90	521	276	130	85	228	166	-15.63	-62.82	-9.24	14414.53	-1957.16	7085.61	4.28	17.15	-117.65
90	521	278	131	84	228	165	-15.75	-62.79	-9.28	14413.80	-1968.30	7095.33	-5.23	16.04	-113.42
90	521	278	130	85	227	165	-15.86	-62.71	-9.34	14414.91	-1982.89	7111.16	-19.47	12.79	-112.60
90	521	278	131	85	228	166	-16.00	-62.68	-9.43	14411.97	-2004.34	7125.41	-32.35	2.75	-118.27
90	521	277	131	85	228	165	-15.95	-62.73	-9.41	14412.97	-1999.13	7133.74	-38.58	-10.09	-126.61
90	521	279	131	85	227	165	-15.85	-62.79	-9.35	14413.12	-1986.37	7127.05	-52.75	-12.19	-127.68
90	521	278	131	85	228	165	-15.76	-62.81	-9.30	14413.66	-1973.85	7120.30	-62.41	-4.78	-124.44
90	521	279	131	85	227	165	-15.70	-62.73	-9.30	14401.98	-1971.56	7124.08	-63.84	5.76	-116.97
90	521	278	131	85	228	165	-15.74	-62.67	-9.32	14392.48	-1975.18	7126.28	-62.85	14.52	-108.77
89	521	278	132	85	225	165	-15.73	-62.63	-9.34	14393.45	-1978.42	7129.76	-56.41	22.10	-99.13
90	521	279	132	85	228	165	-15.80	-62.60	-9.35	14393.98	-1982.30	7129.87	-66.29	33.39	-85.73
90	521	279	131	84	228	165	-15.95	-62.57	-9.44	14398.28	-2005.79	7129.58	-65.32	42.77	-80.29
90	521	279	131	85	228	165	-16.12	-62.51	-9.51	14396.37	-2022.30	7131.70	-68.36	48.78	-80.73
90	521	279	131	85	227	166	-16.12	-62.50	-9.53	14400.75	-2028.58	7131.72	-62.99	54.25	-86.29
90	520	278	132	86	227	165	-16.04	-62.47	-9.51	14391.51	-2022.35	7130.53	-61.29	62.68	-92.77
90	521	279	131	85	228	165	-15.85	-62.46	-9.44	14384.94	-2002.44	7125.20	-64.58	74.65	-95.79
90	521	280	131	85	226	165	-15.62	-62.48	-9.35	14372.89	-1978.31	7120.14	-66.00	82.72	-94.40
90	521	279	131	85	227	165	-15.53	-62.51	-9.29	14374.45	-1963.80	7109.14	-70.85	93.48	-78.43
90	521	280	131	85	227	166	-15.46	-62.43	-9.29	14375.72	-1963.21	7109.08	-61.55	111.81	-60.16
89	520	280	131	85	227	165	-15.37	-62.37	-9.27	14376.14	-1960.85	7118.03	-49.13	122.12	-41.70
90	521	280	131	85	228	165	-15.29	-62.35	-9.25	14383.13	-1954.01	7120.52	-49.07	132.26	-22.76
90	521	280	132	85	228	166	-15.34	-62.24	-9.29	14379.77	-1963.90	7137.90	-46.97	141.25	-7.27
89	520	280	131	86	227	166	-15.32	-62.16	-9.31	14386.18	-1970.11	7151.20	-38.22	147.94	2.34
90	520	279	132	85	227	165	-15.34	-62.14	-9.32	14397.67	-1975.00	7162.64	-31.51	153.84	10.77
90	521	279	131	86	227	166	-15.33	-62.11	-9.33	14406.39	-1980.85	7181.11	-18.58	149.15	19.58
90	521	279	131	85	227	166	-15.31	-62.12	-9.33	14408.07	-1978.41	7189.26	-18.00	138.29	27.35
89	521	279	130	86	228	165	-15.39	-62.18	-9.35	14412.67	-1986.89	7190.79	-14.10	120.57	31.14
90	520	280	132	86	228	165	-15.36	-62.27	-9.34	14415.63	-1983.55	7179.45	-4.95	115.85	30.53
90	521	280	131	86	227	165	-15.36	-62.30	-9.34	14414.65	-1984.97	7168.68	-4.80	116.35	32.80
90	520	280	131	86	228	166	-15.40	-62.34	-9.36	14414.32	-1988.32	7161.05	-0.01	117.94	33.26
90	521	280	131	85	227	165	-15.33	-62.37	-9.34	14408.20	-1982.30	7147.59	12.74	127.64	34.75
91	521	280	131	85	228	165	-15.34	-62.39	-9.33	14398.99	-1978.79	7144.21	-1.10	131.61	42.21
90	521	279	132	85	227	165	-15.52	-62.39	-9.38	14402.64	-1990.65	7135.00	-5.79	140.73	51.25
91	521	279	131	86	227	166	-15.53	-62.33	-9.38	14404.71	-1992.32	7132.05	-0.45	157.34	58.34
90	520	279	131	86	227	164	-15.55	-62.30	-9.41	14400.28	-1999.90	7131.05	-7.13	167.57	65.77
90	521	280	132	85	227	165	-15.68	-62.25	-9.47	14402.66	-2014.11	7136.30	-9.92	183.04	71.13
90	520	280	132	86	228	166	-15.76	-62.14	-9.48	14408.53	-2017.40	7134.28	-23.93	216.44	79.78
90	520	280	131	86	228	165	-15.90	-61.95	-9.52	14403.50	-2027.73	7147.37	-44.48	245.22	86.49
90	520	280	132	85	227	166	-15.92	-61.85	-9.55	14397.53	-2034.94	7158.20	-42.61	262.26	86.11
90	520	280	131	86	226	165	-15.78	-61.82	-9.51	14387.05	-2022.00	7166.09	-45.08	261.50	83.51
90	520	280	132	86	227	165	-15.76	-61.77	-9.52	14381.90	-2023.50	7183.18	-48.72	254.52	86.63
90	521	280	131	86	228	166	-15.60	-61.75	-9.48	14376.60	-2013.72	7205.42	-51.69	240.35	92.75
90	520	281	131	86	227	166	-15.63	-61.73	-9.49	14378.57	-2015.04	7223.55	-68.30	227.08	107.61
90	520	279	132	86	226	166	-15.69	-61.77	-9.52	14379.84	-2023.68	7232.98	-67.39	205.07	114.68
90	520	281	132	86	226	165	-15.67	-61.87	-9.51	14374.05	-2018.30	7224.93	-72.32	189.22	121.10
90	520	281	132	86	227	166	-15.80	-61.90	-9.52	14373.55	-2021.18	7219.08	-91.10	186.36	133.14
90	520	281	132	86	225	166	-15.96	-61.93	-9.56	14371.47	-2031.93	7201.33	-88.30	196.79	138.44
90	520	280	132	86	226	165	-16.10	-61.93	-9.59	14371.50	-2039.73	7185.06	-83.88	219.85	142.86
90	520	282	131	86	228	166	-16.23	-61.83	-9.67	14373.32	-2058.14	7187.61	-71.14	242.21	145.62
90	520	281	132	85	227	165	-16.34	-61.65	-9.76	14372.66	-2083.04	7208.43	-48.38	260.60	142.69
90	520	281	132	86	226	166	-16.36	-61.49	-9.84	14368.62	-2100.28	7235.20	-29.51	267.12	139.71
90	520	281	132	86	228	166	-16.39	-61.40	-9.91	14354.19	-2115.27	7260.64	-24.09	252.76	133.97
90	520	281	132	86	226	165	-16.51	-61.38	-9.98	14345.48	-2131.31	7275.41	-28.18	231.67	131.92
